Start;Ende;Verbrauch (kWh) - Gesamtverbrauch;Zählerstand (kWh) - Gesamtverbrauch
 03.07.2023 04:15:00; 03.07.2023 04:30:00;0,069;24503,311
 03.07.2023 04:30:00; 03.07.2023 04:45:00;0,081;24503,392
 03.07.2023 04:45:00; 03.07.2023 05:00:00;0,074;24503,466
 03.07.2023 05:00:00; 03.07.2023 05:15:00;0,06;24503,526
 03.07.2023 05:15:00; 03.07.2023 05:30:00;0,047;24503,573
 03.07.2023 05:30:00; 03.07.2023 05:45:00;0,037;24503,61
 03.07.2023 05:45:00; 03.07.2023 06:00:00;0,022;24503,632
 03.07.2023 06:00:00; 03.07.2023 06:15:00;0,017;24503,649
 03.07.2023 06:15:00; 03.07.2023 06:30:00;0,001;24503,65
 03.07.2023 06:30:00; 03.07.2023 06:45:00;0,001;24503,651
 03.07.2023 06:45:00; 03.07.2023 07:00:00;0;24503,651
 03.07.2023 07:00:00; 03.07.2023 07:15:00;0;24503,651
 03.07.2023 07:15:00; 03.07.2023 07:30:00;0;24503,651
 03.07.2023 07:30:00; 03.07.2023 07:45:00;0,021;24503,672
 03.07.2023 07:45:00; 03.07.2023 08:00:00;0,13;24503,802
 03.07.2023 08:00:00; 03.07.2023 08:15:00;0,21;24504,012
 03.07.2023 08:15:00; 03.07.2023 08:30:00;0,41;24504,422
 03.07.2023 08:30:00; 03.07.2023 08:45:00;0,105;24504,527
 03.07.2023 08:45:00; 03.07.2023 09:00:00;0,049;24504,576
 03.07.2023 09:00:00; 03.07.2023 09:15:00;0,201;24504,777
 03.07.2023 09:15:00; 03.07.2023 09:30:00;0,105;24504,882
 03.07.2023 09:30:00; 03.07.2023 09:45:00;0,076;24504,958
 03.07.2023 09:45:00; 03.07.2023 10:00:00;0,126;24505,084
 03.07.2023 10:00:00; 03.07.2023 10:15:00;0,001;24505,085
 03.07.2023 10:15:00; 03.07.2023 10:30:00;0,043;24505,128
 03.07.2023 10:30:00; 03.07.2023 10:45:00;0;24505,128
 03.07.2023 10:45:00; 03.07.2023 11:00:00;0;24505,128
 03.07.2023 11:00:00; 03.07.2023 11:15:00;0;24505,128
 03.07.2023 11:15:00; 03.07.2023 11:30:00;0;24505,128
 03.07.2023 11:30:00; 03.07.2023 11:45:00;0,334;24505,462
 03.07.2023 11:45:00; 03.07.2023 12:00:00;0,505;24505,967
 03.07.2023 12:00:00; 03.07.2023 12:15:00;0,154;24506,121
 03.07.2023 12:15:00; 03.07.2023 12:30:00;0,079;24506,2
 03.07.2023 12:30:00; 03.07.2023 12:45:00;0,26;24506,46
 03.07.2023 12:45:00; 03.07.2023 13:00:00;0,132;24506,592
 03.07.2023 13:00:00; 03.07.2023 13:15:00;0,06;24506,652
 03.07.2023 13:15:00; 03.07.2023 13:30:00;0,045;24506,697
 03.07.2023 13:30:00; 03.07.2023 13:45:00;0;24506,697
 03.07.2023 13:45:00; 03.07.2023 14:00:00;0;24506,697
 03.07.2023 14:00:00; 03.07.2023 14:15:00;0;24506,697
 03.07.2023 14:15:00; 03.07.2023 14:30:00;0;24506,697
 03.07.2023 14:30:00; 03.07.2023 14:45:00;0,044;24506,741
 03.07.2023 14:45:00; 03.07.2023 15:00:00;0,06;24506,801
 03.07.2023 15:00:00; 03.07.2023 15:15:00;0,049;24506,85
 03.07.2023 15:15:00; 03.07.2023 15:30:00;0,002;24506,852
 03.07.2023 15:30:00; 03.07.2023 15:45:00;0;24506,852
 03.07.2023 15:45:00; 03.07.2023 16:00:00;0;24506,852
 03.07.2023 16:00:00; 03.07.2023 16:15:00;0;24506,852
 03.07.2023 16:15:00; 03.07.2023 16:30:00;0,085;24506,937
 03.07.2023 16:30:00; 03.07.2023 16:45:00;0,005;24506,942
 03.07.2023 16:45:00; 03.07.2023 17:00:00;0;24506,942
 03.07.2023 17:00:00; 03.07.2023 17:15:00;0;24506,942
 03.07.2023 17:15:00; 03.07.2023 17:30:00;0;24506,942
 03.07.2023 17:30:00; 03.07.2023 17:45:00;0;24506,942
 03.07.2023 17:45:00; 03.07.2023 18:00:00;0;24506,942
 03.07.2023 18:00:00; 03.07.2023 18:15:00;0;24506,942
 03.07.2023 18:15:00; 03.07.2023 18:30:00;0,001;24506,943
 03.07.2023 18:30:00; 03.07.2023 18:45:00;0;24506,943
 03.07.2023 18:45:00; 03.07.2023 19:00:00;0;24506,943
 03.07.2023 19:00:00; 03.07.2023 19:15:00;0;24506,943
 03.07.2023 19:15:00; 03.07.2023 19:30:00;0,011;24506,954
 03.07.2023 19:30:00; 03.07.2023 19:45:00;0,001;24506,955
 03.07.2023 19:45:00; 03.07.2023 20:00:00;0,005;24506,96
 03.07.2023 20:00:00; 03.07.2023 20:15:00;0,008;24506,968
 03.07.2023 20:15:00; 03.07.2023 20:30:00;0,035;24507,003
 03.07.2023 20:30:00; 03.07.2023 20:45:00;0,049;24507,052
 03.07.2023 20:45:00; 03.07.2023 21:00:00;0,079;24507,131
 03.07.2023 21:00:00; 03.07.2023 21:15:00;0,139;24507,27
 03.07.2023 21:15:00; 03.07.2023 21:30:00;0,16;24507,43
 03.07.2023 21:30:00; 03.07.2023 21:45:00;0,121;24507,551
 03.07.2023 21:45:00; 03.07.2023 22:00:00;0,076;24507,627
 03.07.2023 22:00:00; 03.07.2023 22:15:00;0,07;24507,697
 03.07.2023 22:15:00; 03.07.2023 22:30:00;0,068;24507,765
 03.07.2023 22:30:00; 03.07.2023 22:45:00;0,076;24507,841
 03.07.2023 22:45:00; 03.07.2023 23:00:00;0,077;24507,918
 03.07.2023 23:00:00; 03.07.2023 23:15:00;0,077;24507,995
 03.07.2023 23:15:00; 03.07.2023 23:30:00;0,066;24508,061
 03.07.2023 23:30:00; 03.07.2023 23:45:00;0,063;24508,124
 03.07.2023 23:45:00; 04.07.2023 00:00:00;0,056;24508,18
 04.07.2023 00:00:00; 04.07.2023 00:15:00;0,062;24508,242
 04.07.2023 00:15:00; 04.07.2023 00:30:00;0,072;24508,314
 04.07.2023 00:30:00; 04.07.2023 00:45:00;0,082;24508,396
 04.07.2023 00:45:00; 04.07.2023 01:00:00;0,07;24508,466
 04.07.2023 01:00:00; 04.07.2023 01:15:00;0,063;24508,529
 04.07.2023 01:15:00; 04.07.2023 01:30:00;0,056;24508,585
 04.07.2023 01:30:00; 04.07.2023 01:45:00;0,066;24508,651
 04.07.2023 01:45:00; 04.07.2023 02:00:00;0,053;24508,704
 04.07.2023 02:00:00; 04.07.2023 02:15:00;0,085;24508,789
 04.07.2023 02:15:00; 04.07.2023 02:30:00;0,073;24508,862
 04.07.2023 02:30:00; 04.07.2023 02:45:00;0,072;24508,934
 04.07.2023 02:45:00; 04.07.2023 03:00:00;0,057;24508,991
 04.07.2023 03:00:00; 04.07.2023 03:15:00;0,065;24509,056
 04.07.2023 03:15:00; 04.07.2023 03:30:00;0,062;24509,118
 04.07.2023 03:30:00; 04.07.2023 03:45:00;0,078;24509,196
 04.07.2023 03:45:00; 04.07.2023 04:00:00;0,1;24509,296
 04.07.2023 04:00:00; 04.07.2023 04:15:00;0,086;24509,382
 04.07.2023 04:15:00; 04.07.2023 04:30:00;0,069;24509,451
 04.07.2023 04:30:00; 04.07.2023 04:45:00;0,052;24509,503
 04.07.2023 04:45:00; 04.07.2023 05:00:00;0,066;24509,569
 04.07.2023 05:00:00; 04.07.2023 05:15:00;0,055;24509,624
 04.07.2023 05:15:00; 04.07.2023 05:30:00;0,067;24509,691
 04.07.2023 05:30:00; 04.07.2023 05:45:00;0,027;24509,718
 04.07.2023 05:45:00; 04.07.2023 06:00:00;0,022;24509,74
 04.07.2023 06:00:00; 04.07.2023 06:15:00;0,002;24509,742
 04.07.2023 06:15:00; 04.07.2023 06:30:00;0,024;24509,766
 04.07.2023 06:30:00; 04.07.2023 06:45:00;0;24509,766
 04.07.2023 06:45:00; 04.07.2023 07:00:00;0,008;24509,774
 04.07.2023 07:00:00; 04.07.2023 07:15:00;0,002;24509,776
 04.07.2023 07:15:00; 04.07.2023 07:30:00;0,003;24509,779
 04.07.2023 07:30:00; 04.07.2023 07:45:00;0,035;24509,814
 04.07.2023 07:45:00; 04.07.2023 08:00:00;0,033;24509,847
 04.07.2023 08:00:00; 04.07.2023 08:15:00;0,064;24509,911
 04.07.2023 08:15:00; 04.07.2023 08:30:00;0,145;24510,056
 04.07.2023 08:30:00; 04.07.2023 08:45:00;0,028;24510,084
 04.07.2023 08:45:00; 04.07.2023 09:00:00;0,037;24510,121
 04.07.2023 09:00:00; 04.07.2023 09:15:00;0,003;24510,124
 04.07.2023 09:15:00; 04.07.2023 09:30:00;0;24510,124
 04.07.2023 09:30:00; 04.07.2023 09:45:00;0;24510,124
 04.07.2023 09:45:00; 04.07.2023 10:00:00;0;24510,124
 04.07.2023 10:00:00; 04.07.2023 10:15:00;0;24510,124
 04.07.2023 10:15:00; 04.07.2023 10:30:00;0;24510,124
 04.07.2023 10:30:00; 04.07.2023 10:45:00;0;24510,124
 04.07.2023 10:45:00; 04.07.2023 11:00:00;0;24510,124
 04.07.2023 11:00:00; 04.07.2023 11:15:00;0,006;24510,13
 04.07.2023 11:15:00; 04.07.2023 11:30:00;0;24510,13
 04.07.2023 11:30:00; 04.07.2023 11:45:00;0,275;24510,405
 04.07.2023 11:45:00; 04.07.2023 12:00:00;0,278;24510,683
 04.07.2023 12:00:00; 04.07.2023 12:15:00;0;24510,683
 04.07.2023 12:15:00; 04.07.2023 12:30:00;0;24510,683
 04.07.2023 12:30:00; 04.07.2023 12:45:00;0;24510,683
 04.07.2023 12:45:00; 04.07.2023 13:00:00;0;24510,683
 04.07.2023 13:00:00; 04.07.2023 13:15:00;0;24510,683
 04.07.2023 13:15:00; 04.07.2023 13:30:00;0;24510,683
 04.07.2023 13:30:00; 04.07.2023 13:45:00;0;24510,683
 04.07.2023 13:45:00; 04.07.2023 14:00:00;0;24510,683
 04.07.2023 14:00:00; 04.07.2023 14:15:00;0;24510,683
 04.07.2023 14:15:00; 04.07.2023 14:30:00;0;24510,683
 04.07.2023 14:30:00; 04.07.2023 14:45:00;0;24510,683
 04.07.2023 14:45:00; 04.07.2023 15:00:00;0;24510,683
 04.07.2023 15:00:00; 04.07.2023 15:15:00;0,024;24510,707
 04.07.2023 15:15:00; 04.07.2023 15:30:00;0,001;24510,708
 04.07.2023 15:30:00; 04.07.2023 15:45:00;0;24510,708
 04.07.2023 15:45:00; 04.07.2023 16:00:00;0;24510,708
 04.07.2023 16:00:00; 04.07.2023 16:15:00;0;24510,708
 04.07.2023 16:15:00; 04.07.2023 16:30:00;0;24510,708
 04.07.2023 16:30:00; 04.07.2023 16:45:00;0;24510,708
 04.07.2023 16:45:00; 04.07.2023 17:00:00;0;24510,708
 04.07.2023 17:00:00; 04.07.2023 17:15:00;0;24510,708
 04.07.2023 17:15:00; 04.07.2023 17:30:00;0;24510,708
 04.07.2023 17:30:00; 04.07.2023 17:45:00;0;24510,708
 04.07.2023 17:45:00; 04.07.2023 18:00:00;0;24510,708
 04.07.2023 18:00:00; 04.07.2023 18:15:00;0;24510,708
 04.07.2023 18:15:00; 04.07.2023 18:30:00;0;24510,708
 04.07.2023 18:30:00; 04.07.2023 18:45:00;0,354;24511,062
 04.07.2023 18:45:00; 04.07.2023 19:00:00;1,428;24512,49
 04.07.2023 19:00:00; 04.07.2023 19:15:00;0,935;24513,425
 04.07.2023 19:15:00; 04.07.2023 19:30:00;0,068;24513,493
 04.07.2023 19:30:00; 04.07.2023 19:45:00;0,038;24513,531
 04.07.2023 19:45:00; 04.07.2023 20:00:00;0,247;24513,778
 04.07.2023 20:00:00; 04.07.2023 20:15:00;0,025;24513,803
 04.07.2023 20:15:00; 04.07.2023 20:30:00;0,047;24513,85
 04.07.2023 20:30:00; 04.07.2023 20:45:00;0,061;24513,911
 04.07.2023 20:45:00; 04.07.2023 21:00:00;0,079;24513,99
 04.07.2023 21:00:00; 04.07.2023 21:15:00;0,077;24514,067
 04.07.2023 21:15:00; 04.07.2023 21:30:00;0,074;24514,141
 04.07.2023 21:30:00; 04.07.2023 21:45:00;0,054;24514,195
 04.07.2023 21:45:00; 04.07.2023 22:00:00;0,069;24514,264
 04.07.2023 22:00:00; 04.07.2023 22:15:00;0,059;24514,323
 04.07.2023 22:15:00; 04.07.2023 22:30:00;0,083;24514,406
 04.07.2023 22:30:00; 04.07.2023 22:45:00;0,075;24514,481
 04.07.2023 22:45:00; 04.07.2023 23:00:00;0,086;24514,567
 04.07.2023 23:00:00; 04.07.2023 23:15:00;0,058;24514,625
