PLZ Ort, Adresse [Zählpunktnummer];;;PLZ Ort, Adresse [Zählpunktnummer];;
Zählpunktnummer;;;Zählpunktnummer;;
Strom - Wirkenergie (kWh);;;Strom - Wirkenergie (kWh);;
kWh;;;kWh;;
DATE_FROM;DATE_TO;VALUE;DATE_FROM;DATE_TO;VALUE
;;;16.07.2023 23:45;16.07.2023 23:59;0,003
;;;17.07.2023 00:00;17.07.2023 00:14;0,002
;;;17.07.2023 00:15;17.07.2023 00:29;0,005
;;;17.07.2023 00:30;17.07.2023 00:44;0
;;;17.07.2023 00:45;17.07.2023 00:59;0,002
;;;17.07.2023 01:00;17.07.2023 01:14;0,002
;;;17.07.2023 01:15;17.07.2023 01:29;0,002
;;;17.07.2023 01:30;17.07.2023 01:44;0,004
;;;17.07.2023 01:45;17.07.2023 01:59;0,001
;;;17.07.2023 02:00;17.07.2023 02:14;0,001
;;;17.07.2023 02:15;17.07.2023 02:29;0,004
;;;17.07.2023 02:30;17.07.2023 02:44;0,006
;;;17.07.2023 02:45;17.07.2023 02:59;0,002
;;;17.07.2023 03:00;17.07.2023 03:14;0,003
;;;17.07.2023 03:15;17.07.2023 03:29;0,004
;;;17.07.2023 03:30;17.07.2023 03:44;0,001
;;;17.07.2023 03:45;17.07.2023 03:59;0,017
;;;17.07.2023 04:00;17.07.2023 04:14;0,003
;;;17.07.2023 04:15;17.07.2023 04:29;0,003
;;;17.07.2023 04:30;17.07.2023 04:44;0,002
;;;17.07.2023 04:45;17.07.2023 04:59;0,003
;;;17.07.2023 05:00;17.07.2023 05:14;0
;;;17.07.2023 05:15;17.07.2023 05:29;0
;;;17.07.2023 05:30;17.07.2023 05:44;0,006
;;;17.07.2023 05:45;17.07.2023 05:59;0
;;;17.07.2023 06:00;17.07.2023 06:14;0,002
;;;17.07.2023 06:15;17.07.2023 06:29;0,057
;;;17.07.2023 06:30;17.07.2023 06:44;0,191
;;;17.07.2023 06:45;17.07.2023 06:59;0,269
;;;17.07.2023 07:00;17.07.2023 07:14;0,302
;;;17.07.2023 07:15;17.07.2023 07:29;0,233
;;;17.07.2023 07:30;17.07.2023 07:44;0,265
;;;17.07.2023 07:45;17.07.2023 07:59;0,227
;;;17.07.2023 08:00;17.07.2023 08:14;0,153
;;;17.07.2023 08:15;17.07.2023 08:29;0,231
;;;17.07.2023 08:30;17.07.2023 08:44;0,235
;;;17.07.2023 08:45;17.07.2023 08:59;0,22
;;;17.07.2023 09:00;17.07.2023 09:14;0,131
;;;17.07.2023 09:15;17.07.2023 09:29;0,04
;;;17.07.2023 09:30;17.07.2023 09:44;0,059
;;;17.07.2023 09:45;17.07.2023 09:59;0,071
;;;17.07.2023 10:00;17.07.2023 10:14;0,015
;;;17.07.2023 10:15;17.07.2023 10:29;0,049
;;;17.07.2023 10:30;17.07.2023 10:44;0,005
;;;17.07.2023 10:45;17.07.2023 10:59;0,004
;;;17.07.2023 11:00;17.07.2023 11:14;0,001
;;;17.07.2023 11:15;17.07.2023 11:29;0
;;;17.07.2023 11:30;17.07.2023 11:44;0
;;;17.07.2023 11:45;17.07.2023 11:59;0
;;;17.07.2023 12:00;17.07.2023 12:14;0
;;;17.07.2023 12:15;17.07.2023 12:29;0,189
;;;17.07.2023 12:30;17.07.2023 12:44;0,003
;;;17.07.2023 12:45;17.07.2023 12:59;0,013
;;;17.07.2023 13:00;17.07.2023 13:14;0,26
;;;17.07.2023 13:15;17.07.2023 13:29;0,306
;;;17.07.2023 13:30;17.07.2023 13:44;0
;;;17.07.2023 13:45;17.07.2023 13:59;0,002
;;;17.07.2023 14:00;17.07.2023 14:14;0,001
;;;17.07.2023 14:15;17.07.2023 14:29;0,003
;;;17.07.2023 14:30;17.07.2023 14:44;0,008
;;;17.07.2023 14:45;17.07.2023 14:59;0
;;;17.07.2023 15:00;17.07.2023 15:14;0,033
;;;17.07.2023 15:15;17.07.2023 15:29;0,001
;;;17.07.2023 15:30;17.07.2023 15:44;0,001
;;;17.07.2023 15:45;17.07.2023 15:59;0,039
;;;17.07.2023 16:00;17.07.2023 16:14;0
;;;17.07.2023 16:15;17.07.2023 16:29;0
;;;17.07.2023 16:30;17.07.2023 16:44;0
;;;17.07.2023 16:45;17.07.2023 16:59;0,001
;;;17.07.2023 17:00;17.07.2023 17:14;0,005
;;;17.07.2023 17:15;17.07.2023 17:29;0,001
;;;17.07.2023 17:30;17.07.2023 17:44;0,06
;;;17.07.2023 17:45;17.07.2023 17:59;0,519
;;;17.07.2023 18:00;17.07.2023 18:14;0,082
;;;17.07.2023 18:15;17.07.2023 18:29;0,25
;;;17.07.2023 18:30;17.07.2023 18:44;0,175
;;;17.07.2023 18:45;17.07.2023 18:59;0
;;;17.07.2023 19:00;17.07.2023 19:14;0
;;;17.07.2023 19:15;17.07.2023 19:29;0
;;;17.07.2023 19:30;17.07.2023 19:44;0,001
;;;17.07.2023 19:45;17.07.2023 19:59;0
;;;17.07.2023 20:00;17.07.2023 20:14;0,044
;;;17.07.2023 20:15;17.07.2023 20:29;0,12
;;;17.07.2023 20:30;17.07.2023 20:44;0
;;;17.07.2023 20:45;17.07.2023 20:59;0
;;;17.07.2023 21:00;17.07.2023 21:14;0
;;;17.07.2023 21:15;17.07.2023 21:29;0
;;;17.07.2023 21:30;17.07.2023 21:44;0
;;;17.07.2023 21:45;17.07.2023 21:59;0
;;;17.07.2023 22:00;17.07.2023 22:14;0,006
;;;17.07.2023 22:15;17.07.2023 22:29;0
;;;17.07.2023 22:30;17.07.2023 22:44;0
;;;17.07.2023 22:45;17.07.2023 22:59;0
;;;17.07.2023 23:00;17.07.2023 23:14;0,003
;;;17.07.2023 23:15;17.07.2023 23:29;0,003
;;;17.07.2023 23:30;17.07.2023 23:44;0
;;;17.07.2023 23:45;17.07.2023 23:59;0
;;;18.07.2023 00:00;18.07.2023 00:14;0,003
;;;18.07.2023 00:15;18.07.2023 00:29;0,005
;;;18.07.2023 00:30;18.07.2023 00:44;0,002
;;;18.07.2023 00:45;18.07.2023 00:59;0,003
;;;18.07.2023 01:00;18.07.2023 01:14;0
;;;18.07.2023 01:15;18.07.2023 01:29;0
;;;18.07.2023 01:30;18.07.2023 01:44;0,005
;;;18.07.2023 01:45;18.07.2023 01:59;0,003
;;;18.07.2023 02:00;18.07.2023 02:14;0,005
;;;18.07.2023 02:15;18.07.2023 02:29;0,003
;;;18.07.2023 02:30;18.07.2023 02:44;0,005
;;;18.07.2023 02:45;18.07.2023 02:59;0,002
;;;18.07.2023 03:00;18.07.2023 03:14;0,006
;;;18.07.2023 03:15;18.07.2023 03:29;0,004
;;;18.07.2023 03:30;18.07.2023 03:44;0,003
;;;18.07.2023 03:45;18.07.2023 03:59;0,014
;;;18.07.2023 04:00;18.07.2023 04:14;0,002
;;;18.07.2023 04:15;18.07.2023 04:29;0,004
;;;18.07.2023 04:30;18.07.2023 04:44;0,004
;;;18.07.2023 04:45;18.07.2023 04:59;0,006
;;;18.07.2023 05:00;18.07.2023 05:14;0,009
;;;18.07.2023 05:15;18.07.2023 05:29;0,13
;;;18.07.2023 05:30;18.07.2023 05:44;0,196
;;;18.07.2023 05:45;18.07.2023 05:59;0,185
;;;18.07.2023 06:00;18.07.2023 06:14;0,163
;;;18.07.2023 06:15;18.07.2023 06:29;0,196
;;;18.07.2023 06:30;18.07.2023 06:44;0,17
;;;18.07.2023 06:45;18.07.2023 06:59;0,287
;;;18.07.2023 07:00;18.07.2023 07:14;0,136
;;;18.07.2023 07:15;18.07.2023 07:29;0,181
;;;18.07.2023 07:30;18.07.2023 07:44;0,155
;;;18.07.2023 07:45;18.07.2023 07:59;0,151
;;;18.07.2023 08:00;18.07.2023 08:14;0,108
;;;18.07.2023 08:15;18.07.2023 08:29;0,132
;;;18.07.2023 08:30;18.07.2023 08:44;0,063
;;;18.07.2023 08:45;18.07.2023 08:59;0,052
;;;18.07.2023 09:00;18.07.2023 09:14;0,041
;;;18.07.2023 09:15;18.07.2023 09:29;0,01
;;;18.07.2023 09:30;18.07.2023 09:44;0,008
;;;18.07.2023 09:45;18.07.2023 09:59;0
;;;18.07.2023 10:00;18.07.2023 10:14;0
;;;18.07.2023 10:15;18.07.2023 10:29;0,01
;;;18.07.2023 10:30;18.07.2023 10:44;0,002
;;;18.07.2023 10:45;18.07.2023 10:59;0
;;;18.07.2023 11:00;18.07.2023 11:14;0
;;;18.07.2023 11:15;18.07.2023 11:29;0
;;;18.07.2023 11:30;18.07.2023 11:44;0,006
;;;18.07.2023 11:45;18.07.2023 11:59;0
;;;18.07.2023 12:00;18.07.2023 12:14;0,003
;;;18.07.2023 12:15;18.07.2023 12:29;0,002
;;;18.07.2023 12:30;18.07.2023 12:44;0
;;;18.07.2023 12:45;18.07.2023 12:59;0
;;;18.07.2023 13:00;18.07.2023 13:14;0,2
;;;18.07.2023 13:15;18.07.2023 13:29;0,426
;;;18.07.2023 13:30;18.07.2023 13:44;0,005
;;;18.07.2023 13:45;18.07.2023 13:59;0,002
;;;18.07.2023 14:00;18.07.2023 14:14;0,081
;;;18.07.2023 14:15;18.07.2023 14:29;0,173
;;;18.07.2023 14:30;18.07.2023 14:44;0,11
;;;18.07.2023 14:45;18.07.2023 14:59;0,077
;;;18.07.2023 15:00;18.07.2023 15:14;0,045
;;;18.07.2023 15:15;18.07.2023 15:29;0,007
;;;18.07.2023 15:30;18.07.2023 15:44;0,005
;;;18.07.2023 15:45;18.07.2023 15:59;0,021
;;;18.07.2023 16:00;18.07.2023 16:14;0,002
;;;18.07.2023 16:15;18.07.2023 16:29;0,008
;;;18.07.2023 16:30;18.07.2023 16:44;0
;;;18.07.2023 16:45;18.07.2023 16:59;0,187
;;;18.07.2023 17:00;18.07.2023 17:14;0,266
;;;18.07.2023 17:15;18.07.2023 17:29;0,321
;;;18.07.2023 17:30;18.07.2023 17:44;0,179
;;;18.07.2023 17:45;18.07.2023 17:59;0,129
;;;18.07.2023 18:00;18.07.2023 18:14;0,195
;;;18.07.2023 18:15;18.07.2023 18:29;0,067
;;;18.07.2023 18:30;18.07.2023 18:44;0,039
;;;18.07.2023 18:45;18.07.2023 18:59;0,047
;;;18.07.2023 19:00;18.07.2023 19:14;0,052
;;;18.07.2023 19:15;18.07.2023 19:29;0,101
;;;18.07.2023 19:30;18.07.2023 19:44;0,153
;;;18.07.2023 19:45;18.07.2023 19:59;0,152
;;;18.07.2023 20:00;18.07.2023 20:14;0,17
;;;18.07.2023 20:15;18.07.2023 20:29;0,175
;;;18.07.2023 20:30;18.07.2023 20:44;0,186
;;;18.07.2023 20:45;18.07.2023 20:59;0,227
;;;18.07.2023 21:00;18.07.2023 21:14;0,272
;;;18.07.2023 21:15;18.07.2023 21:29;0,098
;;;18.07.2023 21:30;18.07.2023 21:44;0,096
;;;18.07.2023 21:45;18.07.2023 21:59;0,088
;;;18.07.2023 22:00;18.07.2023 22:14;0,089
;;;18.07.2023 22:15;18.07.2023 22:29;0,094
;;;18.07.2023 22:30;18.07.2023 22:44;0,079
;;;18.07.2023 22:45;18.07.2023 22:59;0,115
;;;18.07.2023 23:00;18.07.2023 23:14;0,101
;;;18.07.2023 23:15;18.07.2023 23:29;0,068
;;;18.07.2023 23:30;18.07.2023 23:44;0,05
;;;18.07.2023 23:45;18.07.2023 23:59;0,054
;;;19.07.2023 00:00;19.07.2023 00:14;0,055
;;;19.07.2023 00:15;19.07.2023 00:29;0,057
;;;19.07.2023 00:30;19.07.2023 00:44;0,051
;;;19.07.2023 00:45;19.07.2023 00:59;0,047
;;;19.07.2023 01:00;19.07.2023 01:14;0,042
;;;19.07.2023 01:15;19.07.2023 01:29;0,038
;;;19.07.2023 01:30;19.07.2023 01:44;0,042
;;;19.07.2023 01:45;19.07.2023 01:59;0,04
;;;19.07.2023 02:00;19.07.2023 02:14;0,042
;;;19.07.2023 02:15;19.07.2023 02:29;0,045
;;;19.07.2023 02:30;19.07.2023 02:44;0,042
;;;19.07.2023 02:45;19.07.2023 02:59;0,039
;;;19.07.2023 03:00;19.07.2023 03:14;0,043
;;;19.07.2023 03:15;19.07.2023 03:29;0,041
;;;19.07.2023 03:30;19.07.2023 03:44;0,034
;;;19.07.2023 03:45;19.07.2023 03:59;0,081
;;;19.07.2023 04:00;19.07.2023 04:14;0,039
;;;19.07.2023 04:15;19.07.2023 04:29;0,042
;;;19.07.2023 04:30;19.07.2023 04:44;0,042
;;;19.07.2023 04:45;19.07.2023 04:59;0,044
;;;19.07.2023 05:00;19.07.2023 05:14;0,04
;;;19.07.2023 05:15;19.07.2023 05:29;0,044
;;;19.07.2023 05:30;19.07.2023 05:44;0,037
;;;19.07.2023 05:45;19.07.2023 05:59;0,042
;;;19.07.2023 06:00;19.07.2023 06:14;0,051
;;;19.07.2023 06:15;19.07.2023 06:29;0,043
;;;19.07.2023 06:30;19.07.2023 06:44;0,045
;;;19.07.2023 06:45;19.07.2023 06:59;0,053
;;;19.07.2023 07:00;19.07.2023 07:14;0,144
;;;19.07.2023 07:15;19.07.2023 07:29;0,065
;;;19.07.2023 07:30;19.07.2023 07:44;0,075
;;;19.07.2023 07:45;19.07.2023 07:59;0,043
;;;19.07.2023 08:00;19.07.2023 08:14;0,041
;;;19.07.2023 08:15;19.07.2023 08:29;0,048
;;;19.07.2023 08:30;19.07.2023 08:44;0,001
;;;19.07.2023 08:45;19.07.2023 08:59;0,02
;;;19.07.2023 09:00;19.07.2023 09:14;0,015
;;;19.07.2023 09:15;19.07.2023 09:29;0,019
;;;19.07.2023 09:30;19.07.2023 09:44;0,007
;;;19.07.2023 09:45;19.07.2023 09:59;0,009
;;;19.07.2023 10:00;19.07.2023 10:14;0,001
;;;19.07.2023 10:15;19.07.2023 10:29;0,001
;;;19.07.2023 10:30;19.07.2023 10:44;0
;;;19.07.2023 10:45;19.07.2023 10:59;0,002
;;;19.07.2023 11:00;19.07.2023 11:14;0,004
;;;19.07.2023 11:15;19.07.2023 11:29;0,246
;;;19.07.2023 11:30;19.07.2023 11:44;0,075
;;;19.07.2023 11:45;19.07.2023 11:59;0
;;;19.07.2023 12:00;19.07.2023 12:14;0
;;;19.07.2023 12:15;19.07.2023 12:29;0,004
;;;19.07.2023 12:30;19.07.2023 12:44;0
;;;19.07.2023 12:45;19.07.2023 12:59;0
;;;19.07.2023 13:00;19.07.2023 13:14;0,378
;;;19.07.2023 13:15;19.07.2023 13:29;0,335
;;;19.07.2023 13:30;19.07.2023 13:44;0,006
;;;19.07.2023 13:45;19.07.2023 13:59;0,002
;;;19.07.2023 14:00;19.07.2023 14:14;0
;;;19.07.2023 14:15;19.07.2023 14:29;0
;;;19.07.2023 14:30;19.07.2023 14:44;0,004
;;;19.07.2023 14:45;19.07.2023 14:59;0,002
;;;19.07.2023 15:00;19.07.2023 15:14;0,073
;;;19.07.2023 15:15;19.07.2023 15:29;0,069
;;;19.07.2023 15:30;19.07.2023 15:44;0,031
;;;19.07.2023 15:45;19.07.2023 15:59;0,017
;;;19.07.2023 16:00;19.07.2023 16:14;0
;;;19.07.2023 16:15;19.07.2023 16:29;0,004
;;;19.07.2023 16:30;19.07.2023 16:44;0,003
;;;19.07.2023 16:45;19.07.2023 16:59;0
;;;19.07.2023 17:00;19.07.2023 17:14;0,067
;;;19.07.2023 17:15;19.07.2023 17:29;0,078
;;;19.07.2023 17:30;19.07.2023 17:44;0,023
;;;19.07.2023 17:45;19.07.2023 17:59;0,024
;;;19.07.2023 18:00;19.07.2023 18:14;0,271
;;;19.07.2023 18:15;19.07.2023 18:29;0,123
;;;19.07.2023 18:30;19.07.2023 18:44;0,018
;;;19.07.2023 18:45;19.07.2023 18:59;0,06
;;;19.07.2023 19:00;19.07.2023 19:14;0,004
;;;19.07.2023 19:15;19.07.2023 19:29;0,002
;;;19.07.2023 19:30;19.07.2023 19:44;0,009
;;;19.07.2023 19:45;19.07.2023 19:59;0,014
;;;19.07.2023 20:00;19.07.2023 20:14;0,007
;;;19.07.2023 20:15;19.07.2023 20:29;0,001
;;;19.07.2023 20:30;19.07.2023 20:44;0,002
;;;19.07.2023 20:45;19.07.2023 20:59;0,003
;;;19.07.2023 21:00;19.07.2023 21:14;0,001
;;;19.07.2023 21:15;19.07.2023 21:29;0,011
;;;19.07.2023 21:30;19.07.2023 21:44;0,002
;;;19.07.2023 21:45;19.07.2023 21:59;0,003
;;;19.07.2023 22:00;19.07.2023 22:14;0,003
;;;19.07.2023 22:15;19.07.2023 22:29;0,001
;;;19.07.2023 22:30;19.07.2023 22:44;0,039
;;;19.07.2023 22:45;19.07.2023 22:59;0,094
;;;19.07.2023 23:00;19.07.2023 23:14;0,054
;;;19.07.2023 23:15;19.07.2023 23:29;0,055
;;;19.07.2023 23:30;19.07.2023 23:44;0,058
;;;19.07.2023 23:45;19.07.2023 23:59;0,051
;;;20.07.2023 00:00;20.07.2023 00:14;0,052
;;;20.07.2023 00:15;20.07.2023 00:29;0,042
;;;20.07.2023 00:30;20.07.2023 00:44;0,052
;;;20.07.2023 00:45;20.07.2023 00:59;0,046
;;;20.07.2023 01:00;20.07.2023 01:14;0,04
;;;20.07.2023 01:15;20.07.2023 01:29;0,042
;;;20.07.2023 01:30;20.07.2023 01:44;0,045
;;;20.07.2023 01:45;20.07.2023 01:59;0,052
;;;20.07.2023 02:00;20.07.2023 02:14;0,041
;;;20.07.2023 02:15;20.07.2023 02:29;0,05
;;;20.07.2023 02:30;20.07.2023 02:44;0,047
;;;20.07.2023 02:45;20.07.2023 02:59;0,047
;;;20.07.2023 03:00;20.07.2023 03:14;0,039
;;;20.07.2023 03:15;20.07.2023 03:29;0,035
;;;20.07.2023 03:30;20.07.2023 03:44;0,054
;;;20.07.2023 03:45;20.07.2023 03:59;0,084
;;;20.07.2023 04:00;20.07.2023 04:14;0,044
;;;20.07.2023 04:15;20.07.2023 04:29;0,048
;;;20.07.2023 04:30;20.07.2023 04:44;0,043
;;;20.07.2023 04:45;20.07.2023 04:59;0,048
;;;20.07.2023 05:00;20.07.2023 05:14;0,04
;;;20.07.2023 05:15;20.07.2023 05:29;0,039
;;;20.07.2023 05:30;20.07.2023 05:44;0,045
;;;20.07.2023 05:45;20.07.2023 05:59;0,057
;;;20.07.2023 06:00;20.07.2023 06:14;0,068
;;;20.07.2023 06:15;20.07.2023 06:29;0,051
;;;20.07.2023 06:30;20.07.2023 06:44;0,196
;;;20.07.2023 06:45;20.07.2023 06:59;0,078
;;;20.07.2023 07:00;20.07.2023 07:14;0,092
;;;20.07.2023 07:15;20.07.2023 07:29;0,112
;;;20.07.2023 07:30;20.07.2023 07:44;0,075
;;;20.07.2023 07:45;20.07.2023 07:59;0,087
;;;20.07.2023 08:00;20.07.2023 08:14;0,035
;;;20.07.2023 08:15;20.07.2023 08:29;0,015
;;;20.07.2023 08:30;20.07.2023 08:44;0,029
;;;20.07.2023 08:45;20.07.2023 08:59;0,003
;;;20.07.2023 09:00;20.07.2023 09:14;0,002
;;;20.07.2023 09:15;20.07.2023 09:29;0,005
;;;20.07.2023 09:30;20.07.2023 09:44;0,003
;;;20.07.2023 09:45;20.07.2023 09:59;0,003
;;;20.07.2023 10:00;20.07.2023 10:14;0,001
;;;20.07.2023 10:15;20.07.2023 10:29;0
;;;20.07.2023 10:30;20.07.2023 10:44;0
;;;20.07.2023 10:45;20.07.2023 10:59;0,002
;;;20.07.2023 11:00;20.07.2023 11:14;0,002
;;;20.07.2023 11:15;20.07.2023 11:29;0,003
;;;20.07.2023 11:30;20.07.2023 11:44;0
;;;20.07.2023 11:45;20.07.2023 11:59;0
;;;20.07.2023 12:00;20.07.2023 12:14;0
;;;20.07.2023 12:15;20.07.2023 12:29;0,002
;;;20.07.2023 12:30;20.07.2023 12:44;0,002
;;;20.07.2023 12:45;20.07.2023 12:59;0,002
;;;20.07.2023 13:00;20.07.2023 13:14;0,029
;;;20.07.2023 13:15;20.07.2023 13:29;0,398
;;;20.07.2023 13:30;20.07.2023 13:44;0,017
;;;20.07.2023 13:45;20.07.2023 13:59;0
;;;20.07.2023 14:00;20.07.2023 14:14;0
;;;20.07.2023 14:15;20.07.2023 14:29;0,001
;;;20.07.2023 14:30;20.07.2023 14:44;0,001
;;;20.07.2023 14:45;20.07.2023 14:59;0
;;;20.07.2023 15:00;20.07.2023 15:14;0
;;;20.07.2023 15:15;20.07.2023 15:29;0,09
;;;20.07.2023 15:30;20.07.2023 15:44;0,004
;;;20.07.2023 15:45;20.07.2023 15:59;0,006
;;;20.07.2023 16:00;20.07.2023 16:14;0,002
;;;20.07.2023 16:15;20.07.2023 16:29;0,003
;;;20.07.2023 16:30;20.07.2023 16:44;0
;;;20.07.2023 16:45;20.07.2023 16:59;0
;;;20.07.2023 17:00;20.07.2023 17:14;0,009
;;;20.07.2023 17:15;20.07.2023 17:29;0
;;;20.07.2023 17:30;20.07.2023 17:44;0
;;;20.07.2023 17:45;20.07.2023 17:59;0
;;;20.07.2023 18:00;20.07.2023 18:14;0
;;;20.07.2023 18:15;20.07.2023 18:29;0,142
;;;20.07.2023 18:30;20.07.2023 18:44;0,051
;;;20.07.2023 18:45;20.07.2023 18:59;0,07
;;;20.07.2023 19:00;20.07.2023 19:14;0,05
;;;20.07.2023 19:15;20.07.2023 19:29;0,026
;;;20.07.2023 19:30;20.07.2023 19:44;0,003
;;;20.07.2023 19:45;20.07.2023 19:59;0,005
;;;20.07.2023 20:00;20.07.2023 20:14;0,003
;;;20.07.2023 20:15;20.07.2023 20:29;0
;;;20.07.2023 20:30;20.07.2023 20:44;0
;;;20.07.2023 20:45;20.07.2023 20:59;0,004
;;;20.07.2023 21:00;20.07.2023 21:14;0,004
;;;20.07.2023 21:15;20.07.2023 21:29;0,004
;;;20.07.2023 21:30;20.07.2023 21:44;0,002
;;;20.07.2023 21:45;20.07.2023 21:59;0
;;;20.07.2023 22:00;20.07.2023 22:14;0
;;;20.07.2023 22:15;20.07.2023 22:29;0,25
;;;20.07.2023 22:30;20.07.2023 22:44;0,117
;;;20.07.2023 22:45;20.07.2023 22:59;0
;;;20.07.2023 23:00;20.07.2023 23:14;0,002
;;;20.07.2023 23:15;20.07.2023 23:29;0,002
;;;20.07.2023 23:30;20.07.2023 23:44;0,006
;;;20.07.2023 23:45;20.07.2023 23:59;0,003
;;;21.07.2023 00:00;21.07.2023 00:14;0,11
;;;21.07.2023 00:15;21.07.2023 00:29;0,003
;;;21.07.2023 00:30;21.07.2023 00:44;0,003
;;;21.07.2023 00:45;21.07.2023 00:59;0,005
;;;21.07.2023 01:00;21.07.2023 01:14;0,002
;;;21.07.2023 01:15;21.07.2023 01:29;0,003
;;;21.07.2023 01:30;21.07.2023 01:44;0,002
;;;21.07.2023 01:45;21.07.2023 01:59;0,004
;;;21.07.2023 02:00;21.07.2023 02:14;0,005
;;;21.07.2023 02:15;21.07.2023 02:29;0,003
;;;21.07.2023 02:30;21.07.2023 02:44;0,005
;;;21.07.2023 02:45;21.07.2023 02:59;0,002
;;;21.07.2023 03:00;21.07.2023 03:14;0,003
;;;21.07.2023 03:15;21.07.2023 03:29;0,003
;;;21.07.2023 03:30;21.07.2023 03:44;0,004
;;;21.07.2023 03:45;21.07.2023 03:59;0,018
;;;21.07.2023 04:00;21.07.2023 04:14;0,004
;;;21.07.2023 04:15;21.07.2023 04:29;0,008
;;;21.07.2023 04:30;21.07.2023 04:44;0,004
;;;21.07.2023 04:45;21.07.2023 04:59;0,005
;;;21.07.2023 05:00;21.07.2023 05:14;0,004
;;;21.07.2023 05:15;21.07.2023 05:29;0,005
;;;21.07.2023 05:30;21.07.2023 05:44;0,001
;;;21.07.2023 05:45;21.07.2023 05:59;0,004
;;;21.07.2023 06:00;21.07.2023 06:14;0,006
;;;21.07.2023 06:15;21.07.2023 06:29;0,003
;;;21.07.2023 06:30;21.07.2023 06:44;0,005
;;;21.07.2023 06:45;21.07.2023 06:59;0,086
;;;21.07.2023 07:00;21.07.2023 07:14;0,056
;;;21.07.2023 07:15;21.07.2023 07:29;0,005
;;;21.07.2023 07:30;21.07.2023 07:44;0,002
;;;21.07.2023 07:45;21.07.2023 07:59;0,003
;;;21.07.2023 08:00;21.07.2023 08:14;0
;;;21.07.2023 08:15;21.07.2023 08:29;0
;;;21.07.2023 08:30;21.07.2023 08:44;0,001
;;;21.07.2023 08:45;21.07.2023 08:59;0,003
;;;21.07.2023 09:00;21.07.2023 09:14;0
;;;21.07.2023 09:15;21.07.2023 09:29;0
;;;21.07.2023 09:30;21.07.2023 09:44;0,006
;;;21.07.2023 09:45;21.07.2023 09:59;0
;;;21.07.2023 10:00;21.07.2023 10:14;0
;;;21.07.2023 10:15;21.07.2023 10:29;0,022
;;;21.07.2023 10:30;21.07.2023 10:44;0,004
;;;21.07.2023 10:45;21.07.2023 10:59;0,004
;;;21.07.2023 11:00;21.07.2023 11:14;0,001
;;;21.07.2023 11:15;21.07.2023 11:29;0
;;;21.07.2023 11:30;21.07.2023 11:44;0,004
;;;21.07.2023 11:45;21.07.2023 11:59;0,002
;;;21.07.2023 12:00;21.07.2023 12:14;0,004
;;;21.07.2023 12:15;21.07.2023 12:29;0,001
;;;21.07.2023 12:30;21.07.2023 12:44;0,068
;;;21.07.2023 12:45;21.07.2023 12:59;0
;;;21.07.2023 13:00;21.07.2023 13:14;0,275
;;;21.07.2023 13:15;21.07.2023 13:29;0,576
;;;21.07.2023 13:30;21.07.2023 13:44;0,023
;;;21.07.2023 13:45;21.07.2023 13:59;0,006
;;;21.07.2023 14:00;21.07.2023 14:14;0,001
;;;21.07.2023 14:15;21.07.2023 14:29;0,005
;;;21.07.2023 14:30;21.07.2023 14:44;0
;;;21.07.2023 14:45;21.07.2023 14:59;0,004
;;;21.07.2023 15:00;21.07.2023 15:14;0,084
;;;21.07.2023 15:15;21.07.2023 15:29;0,002
;;;21.07.2023 15:30;21.07.2023 15:44;0,004
;;;21.07.2023 15:45;21.07.2023 15:59;0,003
;;;21.07.2023 16:00;21.07.2023 16:14;0,002
;;;21.07.2023 16:15;21.07.2023 16:29;0,003
;;;21.07.2023 16:30;21.07.2023 16:44;0,073
;;;21.07.2023 16:45;21.07.2023 16:59;0,174
;;;21.07.2023 17:00;21.07.2023 17:14;0,137
;;;21.07.2023 17:15;21.07.2023 17:29;0,04
;;;21.07.2023 17:30;21.07.2023 17:44;0,099
;;;21.07.2023 17:45;21.07.2023 17:59;0,311
;;;21.07.2023 18:00;21.07.2023 18:14;0,639
;;;21.07.2023 18:15;21.07.2023 18:29;0,148
;;;21.07.2023 18:30;21.07.2023 18:44;0,079
;;;21.07.2023 18:45;21.07.2023 18:59;0,041
;;;21.07.2023 19:00;21.07.2023 19:14;0,129
;;;21.07.2023 19:15;21.07.2023 19:29;0,107
;;;21.07.2023 19:30;21.07.2023 19:44;0,041
;;;21.07.2023 19:45;21.07.2023 19:59;0
;;;21.07.2023 20:00;21.07.2023 20:14;0,003
;;;21.07.2023 20:15;21.07.2023 20:29;0,006
;;;21.07.2023 20:30;21.07.2023 20:44;0,001
;;;21.07.2023 20:45;21.07.2023 20:59;0,1
;;;21.07.2023 21:00;21.07.2023 21:14;0,222
;;;21.07.2023 21:15;21.07.2023 21:29;0,126
;;;21.07.2023 21:30;21.07.2023 21:44;0,288
;;;21.07.2023 21:45;21.07.2023 21:59;0,262
;;;21.07.2023 22:00;21.07.2023 22:14;0,287
;;;21.07.2023 22:15;21.07.2023 22:29;0,254
;;;21.07.2023 22:30;21.07.2023 22:44;0,211
;;;21.07.2023 22:45;21.07.2023 22:59;0,071
;;;21.07.2023 23:00;21.07.2023 23:14;0,053
;;;21.07.2023 23:15;21.07.2023 23:29;0,059
;;;21.07.2023 23:30;21.07.2023 23:44;0,05
;;;21.07.2023 23:45;21.07.2023 23:59;0,055
;;;22.07.2023 00:00;22.07.2023 00:14;0,047
